,pm10,pm25,so2,co,o3,no2,categori
362,0.06097560975609756,0.18012422360248448,0.22500000000000003,0.14634146341463414,0.06993006993006995,0.30645161290322587,2
363,0.25609756097560976,0.40372670807453415,0.2375,0.5121951219512195,0.04195804195804195,0.4838709677419355,1
364,0.22560975609756095,0.3478260869565218,0.24999999999999994,0.3170731707317074,0.06993006993006995,0.3870967741935485,1
365,0.10975609756097562,0.2608695652173913,0.3125,0.19512195121951223,0.04195804195804195,0.2419354838709678,1
366,0.09146341463414634,0.21118012422360244,0.2875000000000001,0.21951219512195122,0.034965034965034975,0.2580645161290323,2
367,0.14024390243902443,0.2608695652173913,0.3875,0.24390243902439027,0.034965034965034975,0.30645161290322587,1
368,0.23780487804878048,0.3478260869565218,0.30000000000000004,0.29268292682926833,0.04895104895104896,0.4032258064516129,1
369,0.20121951219512196,0.329192546583851,0.26250000000000007,0.2682926829268293,0.06293706293706294,0.4193548387096774,1
370,0.18292682926829268,0.3416149068322982,0.3625000000000001,0.24390243902439027,0.11888111888111891,0.4516129032258065,1
371,0.24390243902439024,0.3478260869565218,0.30000000000000004,0.4390243902439025,0.04895104895104896,0.4516129032258065,1
372,0.24390243902439024,0.3416149068322982,0.26250000000000007,0.3902439024390244,0.09090909090909091,0.5967741935483871,1
373,0.2195121951219512,0.36024844720496896,0.3125,0.3170731707317074,0.11888111888111891,0.467741935483871,1
374,0.25,0.3788819875776399,0.275,0.5365853658536586,0.09090909090909091,0.5967741935483871,1
375,0.24390243902439024,0.39130434782608703,0.275,0.4390243902439025,0.05594405594405594,0.6290322580645161,1
376,0.3048780487804878,0.5465838509316772,0.275,0.41463414634146345,0.07692307692307693,0.6129032258064516,0
377,0.25609756097560976,0.40993788819875776,0.275,0.21951219512195122,0.11888111888111891,0.370967741935484,1
378,0.29268292682926833,0.49068322981366475,0.2875000000000001,0.29268292682926833,0.1258741258741259,0.435483870967742,1
379,0.25,0.4347826086956521,0.2875000000000001,0.24390243902439027,0.09090909090909091,0.435483870967742,1
380,0.29268292682926833,0.45962732919254656,0.275,0.41463414634146345,0.04195804195804195,0.5483870967741936,1
381,0.23780487804878048,0.422360248447205,0.2875000000000001,0.29268292682926833,0.1048951048951049,0.5967741935483871,1
382,0.31097560975609756,0.5341614906832298,0.2875000000000001,0.3414634146341463,0.09090909090909091,0.6290322580645161,1
383,0.31097560975609756,0.5341614906832298,0.26250000000000007,0.3902439024390244,0.15384615384615385,0.5967741935483871,1
384,0.29268292682926833,0.45341614906832306,0.275,0.3170731707317074,0.06293706293706294,0.5322580645161291,1
385,0.25,0.40993788819875776,0.30000000000000004,0.19512195121951223,0.09790209790209789,0.33870967741935487,1
386,0.28658536585365857,0.5031055900621118,0.30000000000000004,0.24390243902439027,0.1048951048951049,0.4032258064516129,1
387,0.23780487804878048,0.39751552795031064,0.2375,0.3170731707317074,0.09090909090909091,0.5,1
388,0.25609756097560976,0.36024844720496896,0.26250000000000007,0.36585365853658536,0.06993006993006995,0.5645161290322581,1
389,0.2804878048780488,0.44099378881987583,0.26250000000000007,0.3902439024390244,0.08391608391608393,0.6290322580645161,1
390,0.0426829268292683,0.15527950310559002,0.32500000000000007,0.17073170731707318,0.2447552447552448,0.11290322580645165,2
